date posted,day streak,👑 Round,👑,1/6,2/6,3/6,4/6,5/6,6/6,X/6
2025-06-06,**Your group is on a 1 day streak!** 🔥 Here are yesterday's results:,1/6,@TheBestLoser,@TheBestLoser,--,@MajorDanger,@Lorax,@Asa @hereisrachel,--,@sinfulprey11 @eplex
2025-06-07,**Your group is on a 2 day streak!** 🔥 Here are yesterday's results:,3/6,@Asa,--,--,@Asa,@hereisrachel,@Jay,@MajorDanger,@Lorax @sinfulprey11
2025-06-08,**Your group is on a 3 day streak!** 🔥 Here are yesterday's results:,4/6,@hereisrachel,--,--,--,@hereisrachel,@sinfulprey11 @MajorDanger,--,@Asa @molligan82
2025-06-09,**Your group is on a 4 day streak!** 🔥 Here are yesterday's results:,3/6,@TheFastestClark,--,--,@TheFastestClark,@hereisrachel @sinfulprey11,@Lorax @molligan82,@joel @TheBestLoser,--
2025-06-10,**Your group is on a 5 day streak!** 🔥 Here are yesterday's results:,2/6,@sinfulprey11,--,@sinfulprey11,@Lorax @Jay @molligan82,@MajorDanger @Asa,@hereisrachel @joel @TheBestLoser,--,@CardinalJoker
2025-06-11,**Your group is on a 6 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@joel @The-Poll-Chancellor @CardinalJoker,@hereisrachel @MajorDanger @Lorax @molligan82,@TheBestLoser @Jay @Asa,@Heather @toastychu
2025-06-12,**Your group is on a 7 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @sinfulprey11 @molligan82,--,--,@hereisrachel @sinfulprey11 @molligan82,@Jay @Asa @TheFastestClark @Lorax @TheBestLoser,@MajorDanger @CardinalJoker,--,--
2025-06-13,**Your group is on an 8 day streak!** 🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@hereisrachel @Heather @CardinalJoker,@Jay @molligan82 @Lorax @sinfulprey11 @toastychu,@TheBestLoser @TheFastestClark @The-Poll-Chancellor @Asa,@MajorDanger
2025-06-14,**Your group is on a 9 day streak!** 🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,@Asa,@TheFastestClark @molligan82 @sinfulprey11,@hereisrachel @Heather @Jay @TheBestLoser,@Lorax @MajorDanger,@toastychu @joel
2025-06-15,**Your group is on a 10 day streak!** 🔥 Here are yesterday's results:,1/6,@TheBestLoser,@TheBestLoser,@CardinalJoker,@molligan82 @Lorax,@sinfulprey11 @hereisrachel @toastychu @Heather @TheFastestClark,@Jay,@MajorDanger,@Asa
2025-06-16,**Your group is on an 11 day streak!** 🔥 Here are yesterday's results:,2/6,@Lorax,--,@Lorax,@hereisrachel @molligan82,@Heather @CardinalJoker @jbonly @TheFastestClark @sinfulprey11,--,@joel,@Jay @MajorDanger @toastychu
